prefix,suffix,response
"Age = 31, WorkClass = Private, Education = Some-college, EducationNum = 10, MaritalStatus = Separated, Occupation = Other-service, Relationship = Unmarried, Race = White, Gender = Female, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 50, NativeCountry = Mexico, Income = <=50K",fnlwgt = 403468,fnlwgt = 202822
"Age = 38, WorkClass = Self-emp-not-inc, Education = HS-grad, EducationNum = 9, MaritalStatus = Never-married, Occupation = Craft-repair, Relationship = Not-in-family, Race = Amer-Indian-Eskimo, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 15, NativeCountry = United-States, Income = <=50K",fnlwgt = 175732,fnlwgt = 174174
"Age = 34, WorkClass = Private, Education = HS-grad, EducationNum = 9, MaritalStatus = Married-civ-spouse, Occupation = Craft-repair, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = United-States, Income = <=50K",fnlwgt = 183778,fnlwgt = 160216
"Age = 27, WorkClass = Private, Education = HS-grad, EducationNum = 9, MaritalStatus = Married-civ-spouse, Occupation = Transport-moving, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 99, NativeCountry = United-States, Income = <=50K",fnlwgt = 336951,fnlwgt = 255582
"Age = 32, WorkClass = State-gov, Education = Bachelors, EducationNum = 13, MaritalStatus = Married-civ-spouse, Occupation = Protective-serv, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = United-States, Income = >50K",fnlwgt = 400132,fnlwgt = 249409
"Age = 21, WorkClass = Private, Education = Some-college, EducationNum = 10, MaritalStatus = Never-married, Occupation = Adm-clerical, Relationship = Not-in-family, Race = White, Gender = Female, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 45, NativeCountry = United-States, Income = <=50K",fnlwgt = 180339,fnlwgt = 216595
"Age = 44, WorkClass = Private, Education = Masters, EducationNum = 14, MaritalStatus = Married-civ-spouse, Occupation = Exec-managerial, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = United-States, Income = >50K",fnlwgt = 165346,fnlwgt = 367749
"Age = 43, WorkClass = State-gov, Education = Bachelors, EducationNum = 13, MaritalStatus = Married-civ-spouse, Occupation = Adm-clerical, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 50, NativeCountry = United-States, Income = >50K",fnlwgt = 206139,fnlwgt = 237993
"Age = 65, WorkClass = ?, Education = 7th-8th, EducationNum = 4, MaritalStatus = Married-civ-spouse, Occupation = ?, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 25, NativeCountry = United-States, Income = <=50K",fnlwgt = 192825,fnlwgt = 200355
"Age = 26, WorkClass = Private, Education = Some-college, EducationNum = 10, MaritalStatus = Never-married, Occupation = Transport-moving, Relationship = Not-in-family, Race = Black, Gender = Male, CapitalGain = 2174, CapitalLoss = 0, HoursPerWeek = 75, NativeCountry = United-States, Income = <=50K",fnlwgt = 258768,fnlwgt = 176756
"Age = 44, WorkClass = Private, Education = Masters, EducationNum = 14, MaritalStatus = Married-civ-spouse, Occupation = Exec-managerial, Relationship = Husband, Race = Asian-Pac-Islander, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 48, NativeCountry = India, Income = <=50K",fnlwgt = 178385,fnlwgt = 128354
"Age = 17, WorkClass = Private, Education = 11th, EducationNum = 7, MaritalStatus = Never-married, Occupation = Handlers-cleaners, Relationship = Not-in-family, Race = Black, Gender = Female, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 15, NativeCountry = United-States, Income = <=50K",fnlwgt = 225507,fnlwgt = 304873
"Age = 54, WorkClass = Self-emp-not-inc, Education = 7th-8th, EducationNum = 4, MaritalStatus = Married-civ-spouse, Occupation = Farming-fishing, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 60, NativeCountry = United-States, Income = <=50K",fnlwgt = 30908,fnlwgt = 133563
"Age = 40, WorkClass = Local-gov, Education = Masters, EducationNum = 14, MaritalStatus = Never-married, Occupation = Prof-specialty, Relationship = Not-in-family, Race = White, Gender = Female, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = United-States, Income = <=50K",fnlwgt = 26929,fnlwgt = 223895
"Age = 34, WorkClass = Private, Education = Some-college, EducationNum = 10, MaritalStatus = Never-married, Occupation = Adm-clerical, Relationship = Unmarried, Race = White, Gender = Female, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = Germany, Income = <=50K",fnlwgt = 193344,fnlwgt = 198863
"Age = 39, WorkClass = Private, Education = HS-grad, EducationNum = 9, MaritalStatus = Married-civ-spouse, Occupation = Exec-managerial, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = United-States, Income = >50K",fnlwgt = 387068,fnlwgt = 367260
"Age = 26, WorkClass = Private, Education = HS-grad, EducationNum = 9, MaritalStatus = Married-civ-spouse, Occupation = Handlers-cleaners, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 50, NativeCountry = United-States, Income = <=50K",fnlwgt = 199143,fnlwgt = 190762
"Age = 20, WorkClass = Private, Education = Some-college, EducationNum = 10, MaritalStatus = Never-married, Occupation = Adm-clerical, Relationship = Own-child, Race = White, Gender = Female, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 20, NativeCountry = United-States, Income = <=50K",fnlwgt = 210781,fnlwgt = 374983
"Age = 39, WorkClass = Self-emp-not-inc, Education = HS-grad, EducationNum = 9, MaritalStatus = Never-married, Occupation = Exec-managerial, Relationship = Not-in-family, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 65, NativeCountry = United-States, Income = <=50K",fnlwgt = 193689,fnlwgt = 32732
"Age = 77, WorkClass = ?, Education = 9th, EducationNum = 5, MaritalStatus = Married-civ-spouse, Occupation = ?, Relationship = Husband, Race = Black, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = United-States, Income = <=50K",fnlwgt = 232894,fnlwgt = 88338
"Age = 32, WorkClass = Private, Education = Some-college, EducationNum = 10, MaritalStatus = Divorced, Occupation = Adm-clerical, Relationship = Unmarried, Race = White, Gender = Female, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = United-States, Income = <=50K",fnlwgt = 180296,fnlwgt = 176756
"Age = 73, WorkClass = Self-emp-not-inc, Education = HS-grad, EducationNum = 9, MaritalStatus = Married-civ-spouse, Occupation = Exec-managerial, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = United-States, Income = <=50K",fnlwgt = 177387,fnlwgt = 235485
"Age = 29, WorkClass = Private, Education = Some-college, EducationNum = 10, MaritalStatus = Never-married, Occupation = Exec-managerial, Relationship = Not-in-family, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 45, NativeCountry = United-States, Income = <=50K",fnlwgt = 177651,fnlwgt = 211995
"Age = 35, WorkClass = Private, Education = HS-grad, EducationNum = 9, MaritalStatus = Separated, Occupation = Prof-specialty, Relationship = Other-relative, Race = Black, Gender = Female, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = United-States, Income = <=50K",fnlwgt = 247547,fnlwgt = 164190
"Age = 54, WorkClass = Private, Education = 10th, EducationNum = 6, MaritalStatus = Married-civ-spouse, Occupation = Transport-moving, Relationship = Husband, Race = Black, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = United-States, Income = <=50K",fnlwgt = 447555,fnlwgt = 180211
"Age = 43, WorkClass = Private, Education = Bachelors, EducationNum = 13, MaritalStatus = Married-civ-spouse, Occupation = Other-service, Relationship = Wife, Race = Asian-Pac-Islander, Gender = Female, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 45, NativeCountry = ?, Income = <=50K",fnlwgt = 95634,fnlwgt = 346189
"Age = 42, WorkClass = Federal-gov, Education = Some-college, EducationNum = 10, MaritalStatus = Married-civ-spouse, Occupation = Adm-clerical, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = United-States, Income = >50K",fnlwgt = 460214,fnlwgt = 159449
"Age = 61, WorkClass = Self-emp-inc, Education = Some-college, EducationNum = 10, MaritalStatus = Married-civ-spouse, Occupation = Sales, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 7688, CapitalLoss = 0, HoursPerWeek = 36, NativeCountry = United-States, Income = >50K",fnlwgt = 61040,fnlwgt = 116825
"Age = 24, WorkClass = Private, Education = HS-grad, EducationNum = 9, MaritalStatus = Never-married, Occupation = Other-service, Relationship = Not-in-family, Race = Amer-Indian-Eskimo, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 35, NativeCountry = United-States, Income = <=50K",fnlwgt = 226668,fnlwgt = 356689
"Age = 50, WorkClass = Private, Education = HS-grad, EducationNum = 9, MaritalStatus = Married-civ-spouse, Occupation = Sales, Relationship = Wife, Race = White, Gender = Female, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 15, NativeCountry = United-States, Income = <=50K",fnlwgt = 113290,fnlwgt = 221208
"Age = 30, WorkClass = Private, Education = Some-college, EducationNum = 10, MaritalStatus = Married-civ-spouse, Occupation = Craft-repair, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 58, NativeCountry = United-States, Income = <=50K",fnlwgt = 151967,fnlwgt = 176284
"Age = 28, WorkClass = Private, Education = HS-grad, EducationNum = 9, MaritalStatus = Never-married, Occupation = Adm-clerical, Relationship = Own-child, Race = White, Gender = Female, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = United-States, Income = <=50K",fnlwgt = 60288,fnlwgt = 183175
"Age = 33, WorkClass = Private, Education = 7th-8th, EducationNum = 4, MaritalStatus = Separated, Occupation = Handlers-cleaners, Relationship = Not-in-family, Race = Black, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 35, NativeCountry = Haiti, Income = <=50K",fnlwgt = 275369,fnlwgt = 176711
"Age = 28, WorkClass = Private, Education = HS-grad, EducationNum = 9, MaritalStatus = Married-civ-spouse, Occupation = Transport-moving, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 4064, CapitalLoss = 0, HoursPerWeek = 45, NativeCountry = United-States, Income = <=50K",fnlwgt = 294936,fnlwgt = 190525
"Age = 20, WorkClass = Private, Education = Some-college, EducationNum = 10, MaritalStatus = Never-married, Occupation = Other-service, Relationship = Own-child, Race = Black, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 20, NativeCountry = United-States, Income = <=50K",fnlwgt = 157894,fnlwgt = 318749
"Age = 62, WorkClass = ?, Education = 9th, EducationNum = 5, MaritalStatus = Never-married, Occupation = ?, Relationship = Unmarried, Race = White, Gender = Female, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = Dominican-Republic, Income = <=50K",fnlwgt = 203126,fnlwgt = 37258
"Age = 48, WorkClass = Self-emp-inc, Education = 10th, EducationNum = 6, MaritalStatus = Married-civ-spouse, Occupation = Exec-managerial, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = United-States, Income = <=50K",fnlwgt = 481987,fnlwgt = 138705
"Age = 61, WorkClass = Private, Education = 9th, EducationNum = 5, MaritalStatus = Never-married, Occupation = Machine-op-inspct, Relationship = Unmarried, Race = Black, Gender = Female, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = United-States, Income = <=50K",fnlwgt = 132972,fnlwgt = 135285
"Age = 77, WorkClass = Private, Education = 7th-8th, EducationNum = 4, MaritalStatus = Married-civ-spouse, Occupation = Machine-op-inspct, Relationship = Husband, Race = Other, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 30, NativeCountry = United-States, Income = <=50K",fnlwgt = 253642,fnlwgt = 182177
"Age = 35, WorkClass = Private, Education = Some-college, EducationNum = 10, MaritalStatus = Never-married, Occupation = Adm-clerical, Relationship = Unmarried, Race = Black, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = United-States, Income = <=50K",fnlwgt = 287658,fnlwgt = 242136
"Age = 81, WorkClass = Private, Education = Bachelors, EducationNum = 13, MaritalStatus = Widowed, Occupation = Sales, Relationship = Not-in-family, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 50, NativeCountry = United-States, Income = >50K",fnlwgt = 98116,fnlwgt = 126833
"Age = 64, WorkClass = Private, Education = HS-grad, EducationNum = 9, MaritalStatus = Widowed, Occupation = Prof-specialty, Relationship = Not-in-family, Race = White, Gender = Female, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 23, NativeCountry = United-States, Income = <=50K",fnlwgt = 144182,fnlwgt = 187656
"Age = 29, WorkClass = Self-emp-not-inc, Education = Some-college, EducationNum = 10, MaritalStatus = Married-civ-spouse, Occupation = Farming-fishing, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 55, NativeCountry = United-States, Income = <=50K",fnlwgt = 141185,fnlwgt = 177083
"Age = 60, WorkClass = ?, Education = Masters, EducationNum = 14, MaritalStatus = Married-civ-spouse, Occupation = ?, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = United-States, Income = <=50K",fnlwgt = 141580,fnlwgt = 188331
"Age = 31, WorkClass = ?, Education = HS-grad, EducationNum = 9, MaritalStatus = Divorced, Occupation = ?, Relationship = Own-child, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 75, NativeCountry = United-States, Income = <=50K",fnlwgt = 226883,fnlwgt = 243190
"Age = 18, WorkClass = Private, Education = 12th, EducationNum = 8, MaritalStatus = Never-married, Occupation = Adm-clerical, Relationship = Own-child, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 12, NativeCountry = United-States, Income = <=50K",fnlwgt = 300379,fnlwgt = 166222
"Age = 21, WorkClass = Private, Education = 12th, EducationNum = 8, MaritalStatus = Married-civ-spouse, Occupation = Craft-repair, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = United-States, Income = <=50K",fnlwgt = 83704,fnlwgt = 195928
"Age = 28, WorkClass = Private, Education = Prof-school, EducationNum = 15, MaritalStatus = Never-married, Occupation = Prof-specialty, Relationship = Not-in-family, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 2339, HoursPerWeek = 40, NativeCountry = Canada, Income = <=50K",fnlwgt = 251905,fnlwgt = 34163
"Age = 39, WorkClass = Private, Education = Masters, EducationNum = 14, MaritalStatus = Divorced, Occupation = Exec-managerial, Relationship = Unmarried, Race = Black, Gender = Female, CapitalGain = 15020, CapitalLoss = 0, HoursPerWeek = 60, NativeCountry = United-States, Income = >50K",fnlwgt = 150061,fnlwgt = 176431
"Age = 51, WorkClass = Private, Education = 9th, EducationNum = 5, MaritalStatus = Married-civ-spouse, Occupation = Machine-op-inspct, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 45, NativeCountry = United-States, Income = <=50K",fnlwgt = 128272,fnlwgt = 197841
"Age = 29, WorkClass = Private, Education = 10th, EducationNum = 6, MaritalStatus = Married-civ-spouse, Occupation = Craft-repair, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = United-States, Income = <=50K",fnlwgt = 134331,fnlwgt = 198349
"Age = 30, WorkClass = Private, Education = HS-grad, EducationNum = 9, MaritalStatus = Never-married, Occupation = Handlers-cleaners, Relationship = Other-relative, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = United-States, Income = <=50K",fnlwgt = 375827,fnlwgt = 364548
"Age = 25, WorkClass = Private, Education = Assoc-voc, EducationNum = 11, MaritalStatus = Married-civ-spouse, Occupation = Tech-support, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = Mexico, Income = <=50K",fnlwgt = 306352,fnlwgt = 220931
"Age = 21, WorkClass = Private, Education = Assoc-voc, EducationNum = 11, MaritalStatus = Never-married, Occupation = Transport-moving, Relationship = Own-child, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = United-States, Income = <=50K",fnlwgt = 90935,fnlwgt = 197200
"Age = 49, WorkClass = Private, Education = Masters, EducationNum = 14, MaritalStatus = Married-civ-spouse, Occupation = Exec-managerial, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 15024, CapitalLoss = 0, HoursPerWeek = 50, NativeCountry = United-States, Income = >50K",fnlwgt = 187370,fnlwgt = 197371
"Age = 25, WorkClass = Private, Education = Bachelors, EducationNum = 13, MaritalStatus = Never-married, Occupation = Other-service, Relationship = Not-in-family, Race = White, Gender = Female, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 20, NativeCountry = United-States, Income = <=50K",fnlwgt = 178421,fnlwgt = 176756
"Age = 30, WorkClass = Private, Education = HS-grad, EducationNum = 9, MaritalStatus = Married-civ-spouse, Occupation = Craft-repair, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = United-States, Income = <=50K",fnlwgt = 105908,fnlwgt = 242383
"Age = 53, WorkClass = ?, Education = Bachelors, EducationNum = 13, MaritalStatus = Married-civ-spouse, Occupation = ?, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 30, NativeCountry = United-States, Income = >50K",fnlwgt = 199665,fnlwgt = 135105
"Age = 49, WorkClass = Private, Education = Assoc-voc, EducationNum = 11, MaritalStatus = Divorced, Occupation = Tech-support, Relationship = Unmarried, Race = White, Gender = Female, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 40, NativeCountry = United-States, Income = <=50K",fnlwgt = 148475,fnlwgt = 160187
"Age = 24, WorkClass = Private, Education = HS-grad, EducationNum = 9, MaritalStatus = Married-civ-spouse, Occupation = Craft-repair, Relationship = Husband, Race = White, Gender = Male, CapitalGain = 0, CapitalLoss = 0, HoursPerWeek = 60, NativeCountry = United-States, Income = <=50K",fnlwgt = 403671,fnlwgt = 369667
