PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
13,0,3,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151,8.05,,S
76,0,3,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,348123,7.65,F G73,S
782,0,1,"Dick, Mrs. Albert Adrian (Vera Gillespie)",female,17.0,1,0,17474,57.0,B20,S
36,0,3,"Mamee, Mr. Hanna",male,0.42,0,1,2666,19.2583,NaN,C
509,0,3,"Olsen, Mr. Henry Margido",male,28.0,0,0,C 4001,22.5250,NaN,S
746,0,3,"""Abbott, Mr. Rossmore Edward""",male,16.0,1,1,C.A. 2673,20.25,NaN,S
126,0,3,"McMahon, Mr. Martin",male,29.69911764705882,0,0,370372,7.75,,Q
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,PC 17572,76.7292,D33,C
374,0,3,"Palsson, Miss. Stina Viola",female,3.0,3,1,349909,21.075,NaN,S
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,16.7,G6,S
404,0,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,1,0,3101279,15.85,NaN,S
782,0,1,"Ward, Miss. Anna",female,35.0,0,0,PC 17755,512.3292,B101,C
502,0,3,"Canavan, Miss. Mary",female,21.0,0,0,364846,7.75,NaN,Q
23,1,1,"'Beckwith, Mr. Richard Leonard'",male,37.0,1,1,11751,52.5542,'D35',S
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,16.7,G6,S
239,0,2,"Pengelly, Mr. Frederick William",male,19.0,0,0,28665,10.5,,S
500,0,3,"Canavan, Miss. Mary",female,21.0,0,0,364846,7.75,NaN,Q
156,0,1,"Williams, Mr. Charles Duane",male,51.0,0,1,PC 17597,61.3792,NaN,C
121,0,3,"""Assam, Mr. Ali""",male,23,0,0,343781,7.75,NaN,Q
232,0,2,"Sjostedt, Mr. Ernst Adolf",male,59.0,0,0,237442,13.5,E24,S
612,0,3,"Karlsson, Mr. Nils August",male,22.0,0,0,350053,7.7958,NaN,S
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509,61.9792,B30,C
751,1,2,"Wells, Miss. Joan",female,4.0,1,1,W./C. 6608,34.375,NaN,S
696,0,3,"Kelly, Mr. James",male,44.0,0,0,363592,8.05,NaN,S
56,1,1,"Woolner, Mr. Hugh",male,46.0,0,0,19947,35.5,C52,S
545,0,1,"Douglas, Mr. Walter Donald",male,50.0,1,0,PC 17761,106.425,C86,C
329,1,1,"Stone, Mrs. George Nelson (Martha Evelyn)",female,62.0,0,1,113572,80.0,B28,NaN
365,0,3,"Adahl, Mr. Mauritz Nils Martin",male,30.0,0,0,C 7076,7.25,NaN,S
196,1,1,"Lurette, Miss. Elise",female,58.0,0,0,PC 17569,146.5208,B80,C
470,1,3,"Baclini, Miss. Helene Barbara",female,0.75,2,1,2666,19.2583,NaN,C
430,1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28.0,0,0,110564,26.55,C52,S
425,0,3,"Rosblom, Mr. Viktor Richard",male,18.0,1,1,370129,20.2125,NaN,S
509,0,3,"Olsen, Mr. Henry Margido",male,28.0,0,0,C 4001,22.525,nan,S
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,0,0,PC 17610,27.7208,A11,C
479,0,3,"Karlsson, Mr. Nils August",male,22.0,0,0,350052,7.7958,NaN,S
267,1,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295,39.6875,NaN,S
686,0,3,"Burke, Mr. Jeremiah",male,19.0,0,0,365222,6.75,NaN,Q
163,0,3,"Bengtsson, Mr. John Viktor",male,26.0,0,0,347068,7.775,,S
795,0,3,"Dantcheff, Mr. Riste",male,25.0,0,0,349203,7.8958,None,S
848,0,3,"Markoff, Mr. Marin",male,35.0,0,0,349213,7.8958,NaN,S
557,0,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",female,48.0,1,0,PC 17485,56.9292,A20,C
534,1,3,"Peter, Mrs. Catherine (Catherine Rizk)",female,24.0,0,2,2668,22.3583,NaN,C
827,1,3,"Mallet, Master. Andre",male,1.0,0,2,S.C./PARIS 2079,37.0042,None,C
450,1,1,"Peuchen, Major. Arthur Godfrey",male,52.0,0,0,113786,30.5,C104,S
874,0,3,"Johnson, Mr. Alfred",male,49.0,0,0,347742,11.1333,None,S
794,0,3,"Dantcheff, Mr. Riste",male,25.0,0,0,349203,7.8958,NaN,S
294,0,3,"Haas, Miss. Aloisia",female,24.0,0,0,349236,8.85,NaN,C
662,0,3,"Badt, Mr. Mohamed",male,40.0,0,0,2623,7.225,None,C
406,0,3,"Widegren, Mr. Carl/Charles Peter",male,51.0,0,0,347064,7.75,NaN,S
466,0,3,"Campbell, Mr. William",male,28.0,0,0,364512,8.05,NaN,S
357,0,3,"Vanden Steen, Mr. Leo Peter",male,28.0,0,0,345783,9.5,None,S
682,1,1,"Hassab, Mr. Hammad",male,27.0,0,0,PC 17572,76.7292,D49,C
348,0,3,"Coutts, Master. William Loch ""William""",male,3.0,1,1,C.A. 37671,15.9,NaN,S
569,0,3,"Johnson, Mr. William Cahoone Jr",male,19.0,0,0,LINE,0.0,NaN,S
341,0,2,"Davies, Mr. John Samuel",male,21.0,0,0,S.O.C. 14879,73.5,NaN,S
286,0,3,"Stankovic, Mr. Ivan",male,33.0,0,0,349239,8.6625,NaN,C
559,1,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58.0,0,1,110413,79.65,E67,S
543,1,2,"Beane, Mr. Edward",male,32.0,1,0,2908,26.0,NaN,S
750,0,3,"Danoff, Mr. Yoto",male,27.0,0,0,349219,7.8958,NaN,S
73,0,2,"Hood, Mr. Ambrose Jr",male,21.0,0,0,S.O.C. 14879,73.5,NaN,S
577,1,2,"Garside, Miss. Ethel",female,34.0,0,0,243880,13.0,NaN,S
585,0,3,"Paulner, Mr. Uscher",male,0.0,0,0,3411,8.7125,NaN,S
667,0,3,"Butler, Mr. Reginald Fenton",male,25.0,0,0,234686,8.05,nan,S
223,0,3,"Nenkoff, Mr. Christo",male,22.0,0,0,349234,7.8958,NaN,S
120,0,3,"Yasbeck, Mr. Antoni",male,27.0,1,0,2659,14.4542,NaN,C
582,0,3,"Webber, Miss. Susan",female,32.0,0,0,266135,7.225,,C
857,1,1,"Daly, Mr. Peter Denis",male,51.0,0,0,113055,26.55,E17,S
129,1,3,"Peter, Miss. Anna",female,2.0,1,1,2668,22.3583,NaN,C
405,0,2,"Gale, Mr. Shadrach",male,34.0,1,0,28664,21.0,NaN,S
622,1,1,"Stahelin-Maeglin, Dr. Max",male,32.0,0,0,PC 17582,153.4625,C125,S
50,0,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295,39.6875,NaN,S
70,0,3,"""Johansson, Mr. Gustaf Joel""",male,33.0,0,0,7540,8.6542,NaN,S
739,0,3,"Crease, Mr. Ernest James",male,19.0,0,0,S.P. 3464,8.1583,NaN,S
447,1,2,"Mellinger, Miss. Madeleine Violet",female,13.0,0,1,S.C./PARIS 2133,15.0458,None,C
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45.0,1,4,347088,27.9,NaN,S
365,0,3,"Adahl, Mr. Mauritz Nils Martin",male,30.0,0,0,C 7076,7.25,NaN,S
