PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Name
1311_03,Mars,False,D/43/P,TRAPPIST-1e,26.0,False,1946.0,4.0,4.0,0.0,623.0,False,Zelko Varnes
1888_01,Earth,False,F/361/S,TRAPPIST-1e,30.0,False,116.0,0.0,0.0,728.0,29.0,True,Lila Kramst
9038_01,Europa,True,A/106/S,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,Liria Kellson
2013_01,Earth,False,F/398/P,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,804.0,False,Jaxon Rill
7096_03,Europa,True,C/260/S,TRAPPIST-1e,30.0,False,0.0,0.0,0.0,0.0,0.0,True,Liria Zelton
3236_02,Earth,False,F/676/P,TRAPPIST-1e,31.0,False,593.0,540.0,238.0,0.0,77.0,False,Lira Kellson
6674_02,Europa,True,E/426/P,TRAPPIST-1e,32.0,False,nan,0.0,0.0,0.0,0.0,True,Lira Kasten
4571_01,Earth,True,G/745/S,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True,Lila Krenston
6631_01,Europa,nan,C/208/P,TRAPPIST-1e,27.0,False,0.0,1891.0,0.0,2167.0,0.0,False,Liria Kastor
0768_01,Europa,False,B/32/P,55 Cancri e,36.0,False,29.0,12180.0,0.0,93.0,17306.0,False,Jorin Kellis
8300_01,Europa,False,C/274/P,nan,27.0,False,0.0,nan,0.0,1866.0,676.0,True,Zelina Kortan
2638_01,Earth,False,E/181/S,TRAPPIST-1e,26.0,False,0.0,29.0,0.0,759.0,0.0,False,Lila Kenson
6132_01,Mars,True,F/1170/S,TRAPPIST-1e,46.0,False,0.0,0.0,nan,0.0,0.0,True,Liria Kortan
4401_01,Earth,nan,G/716/S,55 Cancri e,16.0,False,0.0,0.0,0.0,0.0,0.0,True,Jelina Kortan
3476_03,Earth,False,G/571/P,55 Cancri e,0.0,False,0.0,0.0,0.0,nan,0.0,True,Jaxon Kellington
0433_02,Europa,False,B/20/P,TRAPPIST-1e,47.0,False,4.0,891.0,0.0,2962.0,3656.0,False,Jorinna Kellsway
5408_01,Mars,False,D/174/P,TRAPPIST-1e,32.0,False,1781.0,0.0,654.0,580.0,0.0,False,Rikard Marnson
2427_01,Europa,True,B/94/S,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,True,Liria Kintley
7083_01,Europa,True,C/259/S,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,True,Jorin Kellsway
0081_01,Earth,True,G/13/S,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,False,Timmy O'Connell
