PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
425,0,3,"""Rosblom, Mr. Viktor Richard""",male,18,1,1,"""370129""",20.2125,"""""",S
634,0,3,"""Skoog, Miss. Mabel""",female,9.0,3,2,"""347088""",27.9,"""""",S
731,1,1,"""Allen, Miss. Elisabeth Walton""",female,29,0,0,24160,211.3375,B5,S
342,1,2,"""Collander, Mr. Erik Gustaf""",male,28.0,0,0,248740,13.0,"""""",S
345,0,2,"""Sedgwick, Mr. Charles Frederick Waddington""",male,25,0,0,"""244361""",13.0,"""""",S
342,1,1,"""Collander, Miss. Marjorie""",female,25,0,0,106369,56.9292,A25,C
123,0,3,"""Olsson, Mr. Oscar Wilhelm""",male,32.0,0,0,"""347079""",7.775,"""""",S
536,0,2,"""Fortune, Miss. Mabel Helen""",female,23,3,2,"""19950""",263.0,C23 C25 C27,S
72,0,3,"""Hood, Mr. Ambrose Jr""",male,21.0,0,0,SOTON/OQ 3101317,7.45,NaN,S
346,1,2,"""Brown, Miss. Amelia""",female,24.0,0,0,248733,13.0,F33,S
523,0,3,"""Anderson, Mr. Harry""",male,24,0,0,"""A/5 21173""",7.25,"""""",S
267,0,3,"""Persson, Mr. Ernst Ulrik""",male,25.0,1,0,"""347083""",7.775,NaN,S
320,1,3,"""Ms. Jane Smith""",female,22,0,0,371060,7.75,"""""",Q
139,0,3,"""Osen, Mr. Olaf Elon""",male,16.0,0,0,"""7534""",9.2167,"""""","""S"""
324,1,2,"""Harper, Miss. Annie Jessie""",female,6.0,0,1,248727,33.0,"""""",S
564,0,3,"""Simmons, Mr. John""",male,24,0,0,A/4 39886,8.05,NaN,S
243,0,2,"""Jones, Mr. Charles Cresson""",male,30,0,0,"""239865""",10.5,"""""",S
237,0,2,"""Hold, Mr. Stephen""",male,44.0,1,0,26707,26.0,NaN,S
224,0,3,"""Nenkoff, Mr. Christo""",male,22,0,0,"""349234""",7.8958,"""""",S
245,0,3,"""Gustafsson, Mr. Anders Vilhelm""",male,37,2,0,3101276,7.925,NaN,S
245,0,2,"""Attalah, Mr. Sleiman""",male,30,0,0,"""2694""",7.225,"""""",C
431,1,1,"""Björnström-Steffansson, Mr. Mauritz Hakan""",male,28.0,0,0,110564,26.55,C52,S
129,1,3,"""Peter, Miss. Anna""",female,21.0,1,1,"""349243""",16.7,"""""","""S"""
418,0,2,"""Matthews, Mr. William John""",male,30.0,0,0,"""28228""",13.0,NaN,S
539,0,3,"""Svensson, Mr. Johan""",male,28.0,0,0,347743,7.8542,"""""",S
329,1,2,"""Ball, Mrs. (Ada E Hall)""",female,36.0,0,0,"""28551""",13.0,D,S
342,1,2,"""Collander, Miss. Marjorie""",female,25.0,0,0,"""250647""",13.0,"""""",S
246,0,3,"""Lindahl, Miss. Agda Thorilda Viktoria""",female,25.0,0,0,347071,7.775,None,S
108,1,3,"""Moss, Mr. Albert Johan""",male,29.0,0,0,312991,7.775,"""""",S
673,0,2,"""Mitchell, Mr. Henry Michael""",male,70.0,0,0,"""C.A. 24580""",10.5,"""""",S
231,1,3,"""Johnson, Miss. Eleanor Ileen""",female,1.0,1,1,347742,11.1333,"""""",S
524,0,3,"""Johnson, Mr. Oscar W.""",male,32.0,0,0,"""370160""",8.05,"""""",S
317,1,2,"""Kantor, Mrs. Sinai (Miriam Sternin)""",female,24.0,1,0,244367,26.0,,S
123,0,3,"""Andersson, Mr. Johan Samuel""",male,26,0,0,"""347075""",7.775,"""""",S
562,0,3,"""Boulos, Mr. Hanna""",male,28.0,0,0,"""2664""",7.2292,"""""",C
325,0,3,"""Sage, Mr. George John Jr""",male,NaN,8,2,"""CA. 2343""",69.55,NaN,S
368,1,3,"""McGovern, Miss. Mary""",female,22,0,0,330931,7.8792,"""""",Q
215,1,3,"""Newell, Miss. Madeleine""",female,31.0,1,0,"""4133""",7.7333,None,Q
327,0,3,"""Nysveen, Mr. Johan Hansen""",male,61,0,0,"""345364""",6.2375,"""""",S
329,0,2,"""Ball, Mrs. Ada E. Hall""",female,36.0,0,0,"""28551""",13.0,D,S
287,1,3,"""de Mulder, Mr. Theodore""",male,30.0,0,0,"""345774""",9.5,"""""",S
446,1,2,"""Mellinger, Miss. Madeleine Violet""",female,13,0,1,"""250644""",19.5,"""""","""S"""
291,1,1,"""Bishop, Mrs. Dickinson H (Helen Walton)""",female,19,1,0,11967,91.0792,B49,C
327,1,2,"""Ball, Mrs. (Ada E Hall)""",female,36.0,0,0,28551,13.0,D,S
257,1,1,"""Cherry, Miss. Gladys""",female,30.0,0,0,"""110152""",86.5,B77,S
214,0,3,"""Skoog, Mr. Wilhelm""",male,40.0,1,4,"""347088""",27.9,"""""",S
425,0,3,"""Rosblom, Mr. Viktor Richard""",male,18.0,1,1,"""370129""",20.2125,"""""",S
243,1,2,"""Collyer, Mrs. Harvey (Charlotte Annie Tate)""",female,31,1,1,"""C.A. 31921""",26.25,"""""",S
13,0,3,"Saundercock, Mr. William Henry",male,20,0,0,A/5. 2151,8.05,NaN,S
463,0,1,"""Gee, Mr. Arthur H""",male,47,0,0,111320,38.5,E63,S
251,0,3,"""Strom, Mrs. Wilhelm (Elna Matilda Persson)""",female,29.0,1,1,347054,10.4625,G6,S
316,1,2,"""Kantor, Mrs. Sinai (Miriam Sternin)""",female,24.0,1,0,"""244367""",26.0,"""""","""S"""
567,0,3,"""Stoytcheff, Mr. Ilia""",male,19,0,0,"""349205""",7.8958,"""""",S
427,1,2,"""Clarke, Mrs. Charles V (Ada Maria Winfield)""",female,28.0,1,0,2003,26.0,C123,S
246,0,3,"""Lindahl, Miss. Agda Thorilda Viktoria""",female,25,0,0,347071,7.775,NaN,S
103,0,3,"""Johansson, Mr. Erik""",male,22,0,0,"""350052""",7.7958,"""""",S
342,1,2,"""Collander, Miss. Alma Cornelia""",female,28.0,0,0,"""248733""",13.0,"""""",S
236,0,3,"""Smith, Mr. John""",male,25,0,0,349223,7.8958,"""""",S
342,1,2,"""Collander, Miss. Alma Cornelia""",female,28.0,0,0,248733,13.0,F33,S
431,1,1,"""Bjornstrom-Steffansson, Mr. Mauritz Hakan""",male,28,0,0,110564,26.55,C52,S
372,0,3,"""Wiklund, Mr. Jakob Alfred""",male,18.0,1,0,3101267,6.4958,"""""",S
329,1,2,"""Ball, Mrs. (Ada E Hall)""",female,36.0,0,0,28551,13.0,D,S
391,1,1,"""Carter, Mr. William Ernest""",male,36.0,1,2,113760,120.0,B96 B98,S
89,1,2,"""Celotti, Mr. Francesco""",male,24.0,0,0,"""34395""",12.5,"""""","""S"""
334,0,3,"""Vander Planke, Mr. Leo Edmondus""",male,16.0,2,0,"""345764""",18.0,"""""","""S"""
337,1,2,"""Burns, Miss. Elizabeth Margaret""",female,41.0,0,0,248744,13.0,"""""",S
172,0,3,"""Johnson, Miss. Eleanor Ileen""",female,1,1,1,347742,11.1333,NaN,S
258,1,1,"""Cherry, Miss. Gladys""",female,30.0,0,0,"""110152""",86.5,B77,S
178,0,3,"""Lefebre, Miss. Mathilde""",female,NaN,3,1,"""4133""",25.4667,NaN,S
442,0,3,"""Mr. Victor Vande Walle""",male,23,0,0,"""345765""",9.0,"""""",S
183,0,3,"""Asplund, Mr. Johan Charles""",male,23,0,0,"""350054""",7.7958,NaN,S
231,1,3,"""Smith, Miss. Mary""",female,22.0,1,0,"""347080""",14.4542,NaN,S
435,0,3,"""Kallio, Mr. Nikolai Erland""",male,17.0,0,0,"""STON/O 2. 3101294""",7.125,"""""",S
524,1,1,"""Hippach, Miss. Jean Gertrude""",female,16,0,1,111361,57.9792,B18,C
205,1,3,"""Cohen, Mr. Gurshon 'Gus'""",male,18,0,0,"""A/5 3540""",8.05,"""""",S
196,1,3,"""Lurette, Miss. Elise""",female,58.0,0,0,"""PP 9549""",7.225,B42,C
564,0,3,"""Simmons, Mr. John""",male,39,0,0,A/5 21172,7.25,NaN,S
183,0,3,"""Asim, Mr. Adola""",male,35,0,0,"""SOTON/O.Q. 3101310""",7.05,"""""",S
245,0,3,"""Attalah, Mr. Sleiman""",male,30.0,0,0,"""2694""",7.225,"""""",C
53,1,1,"""Harper, Mrs. Henry Sleeper (Myna Haxtun)""",female,49.0,1,0,PC 17572,76.7292,D33,C
